rpm,time_diff,x
2585.04,20227,21.70224094390869
2585.04,20228,21.703777074813843
2585.04,20230,21.70429301261902
2585.04,20231,21.70700693130493
2585.04,20232,21.70771026611328
2585.04,20233,21.709231853485107
2585.04,20234,21.70978093147278
2585.04,20236,21.712013006210327
2585.04,20237,21.713305950164795
2585.04,20238,21.714619398117065
2585.04,20239,21.715222358703613
2585.04,20241,21.717687129974365
2585.04,20242,21.718765020370483
2585.04,20243,21.720651149749756
2585.04,20244,21.722394227981567
2585.04,20246,21.723464012145996
2585.04,20247,21.72535014152527
2585.04,20248,21.726346731185913
2585.04,20249,21.728098392486572
2585.04,20251,21.728634357452393
2585.04,20252,21.729111433029175
2585.04,20253,21.729591846466064
2585.04,20254,21.73133635520935
2585.04,20256,21.732243537902832
2585.04,20257,21.73364233970642
2585.04,20258,21.734179496765137
2585.04,20259,21.73681378364563
2585.04,20261,21.73742985725403
2585.04,20262,21.73913860321045
2585.04,20263,21.739709615707397
2585.04,20264,21.7417733669281
2585.04,20267,21.74238348007202
2438.88,20268,21.742846250534058
2438.88,20269,21.744518995285034
2438.88,20270,21.745012998580933
2438.88,20272,21.7480366230011
2438.88,20273,21.74916672706604
2438.88,20274,21.750640153884888
2438.88,20275,21.75178813934326
2438.88,20277,21.753002643585205
2438.88,20278,21.754873991012573
2438.88,20279,21.756470680236816
2438.88,20280,21.758859157562256
2438.88,20282,21.76082944869995
2438.88,20283,21.762486696243286
2438.88,20284,21.76302170753479
2438.88,20285,21.763447284698486
2438.88,20287,21.763888120651245
2438.88,20288,21.764310359954834
2438.88,20289,21.76484751701355
2438.88,20290,21.766352653503418
2438.88,20292,21.766907453536987
2438.88,20293,21.76904582977295
2438.88,20294,21.76958990097046
2438.88,20295,21.77191424369812
2438.88,20296,21.77274227142334
2438.88,20298,21.774868965148926
2438.88,20299,21.77536392211914
2438.88,20300,21.777392625808716
2438.88,20301,21.779467821121216
2438.88,20303,21.780182123184204
2438.88,20304,21.781391620635986
2438.88,20305,21.78256058692932
2438.88,20306,21.78403329849243
2438.88,20308,21.78537154197693
2438.88,20310,21.78660225868225
2438.88,20311,21.787418365478516
2438.88,20312,21.78807258605957
2438.88,20314,21.788547039031982
2438.88,20315,21.790825605392456
2438.88,20316,21.791542768478394
2438.88,20317,21.793510913848877
2438.88,20319,21.794228076934814
2438.88,20320,21.796252250671387
2438.88,20321,21.79689073562622
2438.88,20322,21.79912304878235
2438.88,20324,21.799850463867188
2438.88,20325,21.8043475151062
